station_id,name,lat,long,install_dockcount,current_dockcount,install_date_10/13/2014,install_date_10/29/2015,install_date_3/18/2016,install_date_5/22/2015,install_date_6/12/2015,install_date_7/27/2015,install_date_7/3/2016,install_date_8/9/2016,install_date_9/15/2015,modification_date_10/29/2015,modification_date_11/2/2015,modification_date_11/9/2015,modification_date_2/20/2015,modification_date_2/23/2015,modification_date_2/24/2015,modification_date_3/13/2015,modification_date_3/18/2016,modification_date_3/24/2015,modification_date_3/27/2015,modification_date_3/4/2015,modification_date_8/9/2016,decommission_date_10/29/2015,decommission_date_3/18/2016,decommission_date_7/2/2016,decommission_date_8/9/2016
0,11,-0.33742241696850656,-1.5999072354759505,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,10,-0.4744015568758194,-1.438042191464596,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,12,-0.46038090331256154,-0.9347767921284651,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,7,-0.6182587532480842,-1.1442571365849508,-1.1818181818181812,-0.49623134969854577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,14,-0.7441271865579069,-0.3510509771643091,0.795454545454546,0.6865666619116865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,56,-0.8240184578056678,-0.5634314036596666,0.1363636363636369,0.29230065804160904,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,6,-1.0971831157202312,-0.5771899324013073,0.795454545454546,0.6865666619116865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,9,-0.997080940090906,-0.5750317318141954,0.795454545454546,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,22,-1.1262296772532672,-0.21360057729190338,0.795454545454546,0.6865666619116865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,8,-0.7730150237110055,-0.836241446586492,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,2,-1.2006185033289916,0.6959460825119892,-0.5227272727272722,-3.2560933767890874,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,48,-0.3260471697376622,0.13440926733150238,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,26,-0.14457229531461974,0.4040494531458274,0.1363636363636369,0.6865666619116865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,49,-0.07558009815751526,0.13238595428168393,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,4,-0.21605117442420047,0.9736795205275048,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,0,-0.3304914523766583,0.6896063682879467,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,27,-0.500802712076066,1.0446978085871548,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,20,-0.49254904431819885,0.6067854207692653,3.431818181818182,1.8693646735219187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,31,-0.49090889239192953,0.3479362378885834,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,16,-0.4941362881175718,0.03459249019147063,0.1363636363636369,-0.49623134969854577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,1,-0.03457630000078211,0.7034997845659227,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,15,-0.026322632242539088,-0.8346227961466373,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,21,2.048257921988468,2.9083714590658225,4.090909090909091,1.4750986696518413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,29,0.1506550514149868,-0.3597512232799661,-1.8409090909090902,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
25,25,0.5309586658041405,0.04099964818368059,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,28,1.2853756437641417,0.2872368463854037,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,30,-0.9266602235143658,0.16583806337712745,-0.5227272727272722,-3.2560933767890874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,47,-0.8230661115256682,0.7142907875005241,0.795454545454546,0.6865666619116865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,13,-1.3918813811831294,0.05597216475425406,-0.5227272727272722,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,39,-1.2718328418052183,-0.38470541756521365,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,33,-1.365109869096488,-0.16470384524679674,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,44,-0.2611818064600551,-0.20651898161610113,0.1363636363636369,0.6865666619116865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,24,0.15552259906727434,-1.0109882503494756,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,45,-0.08626753974171408,-0.739257307716206,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,40,-0.3426074133806687,-0.7871423832368827,0.1363636363636369,0.29230065804160904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,57,-0.5908523436413176,-0.6811207794091436,-1.8409090909090902,0.6865666619116865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,43,-0.5862493366223842,-0.30586365237800167,0.795454545454546,0.6865666619116865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,34,0.06589623251531417,-0.5792806892192934,0.1363636363636369,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,23,-0.34445919781339573,-1.009167268605118,0.795454545454546,-3.2560933767890874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,32,-0.13324995621067176,-1.8876223512051817,-1.8409090909090902,-0.10196534582846836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
41,50,-0.45159815428798616,-0.4433140522504074,0.795454545454546,0.6865666619116865,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,35,-0.0014029045886246056,-0.8205270485641587,0.795454545454546,0.6865666619116865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
